country_name,year,judicial_constraints,legislative_constraints,accountability_index,high_court_independence,federalism_index,power_distribution_index
Afghanistan,2024,0.104,0.171,-1.311,-1.868,0.0,-0.5808
Albania,2024,0.653,0.682,0.749,0.78,0.458,0.6644
Algeria,2024,0.128,0.189,-0.306,-2.006,0.091,-0.3807999999999999
Angola,2024,0.24,0.172,0.054,-1.037,0.0,-0.1142
Argentina,2024,0.633,0.816,1.146,0.46,0.94,0.7989999999999999
Armenia,2024,0.381,0.61,0.945,-0.596,0.219,0.31179999999999997
Australia,2024,0.988,0.937,1.772,3.222,0.976,1.5790000000000002
Austria,2024,0.944,0.9,1.496,2.619,0.981,1.388
Azerbaijan,2024,0.011,0.056,-1.076,-2.78,0.008,-0.7562
Bahrain,2024,0.049,0.086,-0.718,-2.295,0.043,-0.567
Bangladesh,2024,0.094,0.5571477272727272,-0.385,-3.212,0.068,-0.85875
Barbados,2024,0.933,0.725,1.378,2.169,0.0,1.041
Belarus,2024,0.006,0.032,-1.398,-3.508,0.099,-0.9538
Belgium,2024,0.877,0.886,1.683,1.619,0.933,1.1995999999999998
Benin,2024,0.59,0.309,0.528,-0.462,0.405,0.274
Bhutan,2024,0.758,0.85,0.934,1.224,0.905,0.9342
Bolivia,2024,0.275,0.358,0.583,-1.567,0.877,0.1052
Bosnia and Herzegovina,2024,0.606,0.434,0.653,0.97,0.873,0.7072
Botswana,2024,0.805,0.709,1.058,1.235,0.288,0.8190000000000002
Brazil,2024,0.959,0.936,1.556,2.038,0.958,1.2894
Bulgaria,2024,0.744,0.85,1.125,0.662,0.485,0.7731999999999999
Burkina Faso,2024,0.415,0.231,-0.34,0.637,0.259,0.2404
Burma/Myanmar,2024,0.023,0.5571477272727272,-1.262,-2.832,0.439,-0.9079999999999999
Burundi,2024,0.074,0.223,-0.709,-2.203,0.298,-0.4633999999999999
Cambodia,2024,0.116,0.069,-0.772,-0.239,0.126,-0.13999999999999999
Cameroon,2024,0.146,0.265,-0.064,-2.177,0.028,-0.3604
Canada,2024,0.917,0.853,1.508,1.88,0.96,1.2235999999999998
Cape Verde,2024,0.874,0.838,1.322,1.163,0.448,0.929
Central African Republic,2024,0.128,0.165,-0.169,-1.415,0.0,-0.2582
Chad,2024,0.009,0.12,-0.45,-2.9,0.0,-0.6442
Chile,2024,0.944,0.98,1.696,1.425,0.819,1.1728
China,2024,0.03,0.077,-1.382,-2.413,0.0,-0.7375999999999999
Colombia,2024,0.84,0.823,1.22,2.055,0.991,1.1858
Comoros,2024,0.184,0.119,-0.266,-0.766,0.852,0.024599999999999976
Costa Rica,2024,0.952,0.959,1.727,2.032,0.485,1.231
Croatia,2024,0.833,0.873,1.176,0.173,0.954,0.8017999999999998
Cuba,2024,0.093,0.089,-1.068,-0.949,0.12,-0.34299999999999997
Cyprus,2024,0.824,0.782,1.276,0.973,0.444,0.8597999999999999
Czechia,2024,0.953,0.94,1.634,1.92,0.958,1.281
Democratic Republic of the Congo,2024,0.222,0.212,0.024,-0.396,0.387,0.0898
Denmark,2024,0.984,0.969,1.992,2.8,0.982,1.5453999999999999
Djibouti,2024,0.281,0.15,-0.23,-0.002,0.443,0.12840000000000001
Dominican Republic,2024,0.688,0.293,1.086,0.73,0.464,0.6522
Ecuador,2024,0.472,0.753,0.933,0.898,0.976,0.8064
Egypt,2024,0.603,0.197,-0.543,0.931,0.0,0.23760000000000003
El Salvador,2024,0.023,0.053,-0.21,-2.683,0.481,-0.46719999999999995
Equatorial Guinea,2024,0.011,0.137,-0.829,-2.915,0.028,-0.7136
Eritrea,2024,0.025,0.107,-1.685,-1.58,0.002,-0.6262000000000001
Estonia,2024,0.968,0.958,1.819,1.996,0.491,1.2464
Eswatini,2024,0.302,0.384,-0.614,-0.443,0.373,0.00039999999999998923
Ethiopia,2024,0.199,0.093,-0.253,-1.295,0.296,-0.19199999999999995
Fiji,2024,0.822,0.719,0.786,0.432,0.0,0.5518
Finland,2024,0.976,0.966,1.71,2.558,0.892,1.4204
France,2024,0.932,0.945,1.651,1.575,0.978,1.2162
Gabon,2024,0.26,0.17,0.251,0.095,0.693,0.29379999999999995
Georgia,2024,0.45,0.645,0.486,-0.947,0.425,0.2118
Germany,2024,0.936,0.98,1.781,2.339,0.992,1.4056
Ghana,2024,0.829,0.883,1.207,1.46,0.151,0.9059999999999999
Greece,2024,0.789,0.545,1.238,0.927,0.925,0.8848
Guatemala,2024,0.921,0.828,0.929,1.96,0.48,1.0236
Guinea,2024,0.274,0.143,-0.37,-0.761,0.211,-0.1006
Guinea-Bissau,2024,0.426,0.61,0.348,0.262,0.0,0.3292
Guyana,2024,0.709,0.217,0.645,1.213,0.69,0.6948
Haiti,2024,0.243,0.598,0.312,0.869,0.0,0.40440000000000004
Honduras,2024,0.823,0.418,0.867,0.817,0.436,0.6721999999999999
Hong Kong,2024,0.422,0.121,-0.471,-0.236,0.0,-0.03280000000000001
Hungary,2024,0.616,0.481,0.434,-1.093,0.73,0.23359999999999997
Iceland,2024,0.952,0.815,1.506,2.229,0.498,1.2
India,2024,0.708,0.633,0.477,0.804,0.924,0.7091999999999999
Indonesia,2024,0.599,0.569,0.682,0.71,0.953,0.7026
Iran,2024,0.119,0.355,-0.531,-1.744,0.032,-0.3538
Iraq,2024,0.53,0.612,0.384,0.415,0.663,0.5208
Ireland,2024,0.957,0.88,1.779,2.421,0.39,1.2853999999999997
Israel,2024,0.884,0.914,1.288,1.568,0.497,1.0302
Italy,2024,0.772,0.951,1.556,0.926,0.981,1.0372
Ivory Coast,2024,0.461,0.289,0.404,-0.455,0.845,0.30879999999999996
Jamaica,2024,0.887,0.781,1.432,1.892,0.49,1.0964
Japan,2024,0.888,0.887,1.467,0.945,0.991,1.0356
Jordan,2024,0.718,0.85,0.672,0.058,0.173,0.49420000000000003
Kazakhstan,2024,0.149,0.27,-0.147,-1.853,0.148,-0.2866
Kenya,2024,0.841,0.811,1.014,2.314,0.774,1.1508
Kosovo,2024,0.664,0.679,0.95,1.128,0.41,0.7662000000000001
Kuwait,2024,0.748,0.782,0.346,-0.232,0.0,0.3288
Kyrgyzstan,2024,0.336,0.249,0.105,-0.588,0.232,0.0668
Laos,2024,0.384,0.411,-0.928,0.721,0.574,0.2324
Latvia,2024,0.947,0.858,1.571,3.31,0.495,1.4362
Lebanon,2024,0.507,0.323,0.395,0.493,0.285,0.4006
Lesotho,2024,0.796,0.71,1.081,1.94,0.455,0.9963999999999998
Liberia,2024,0.574,0.463,0.927,1.355,0.0,0.6638
Libya,2024,0.3,0.482,0.186,0.318,0.025,0.2622
Lithuania,2024,0.94,0.955,1.452,1.795,0.492,1.1267999999999998
Luxembourg,2024,0.87,0.876,1.664,1.873,0.333,1.1232000000000002
Madagascar,2024,0.345,0.342,0.443,-1.017,0.347,0.09200000000000004
Malawi,2024,0.768,0.928,1.037,1.328,0.438,0.8997999999999999
Malaysia,2024,0.751,0.497,0.566,0.716,0.422,0.5904
Maldives,2024,0.776,0.685,0.812,1.32,0.466,0.8118000000000001
Mali,2024,0.6,0.093,0.007,0.148,0.351,0.23979999999999996
Malta,2024,0.828,0.675,1.228,1.828,0.43,0.9978
Mauritania,2024,0.172,0.314,0.234,-2.22,0.549,-0.19020000000000004
